device_name,sm_count,kernel,high_reg_tmp_size,threads_per_block,blocks,elements,repeats,warmup,iters,regs_per_thread,shmem_static_bytes,max_active_blocks_per_sm,active_warps_per_sm,max_warps_per_sm,theoretical_occupancy,avg_ms,std_ms,elems_per_ms
"NVIDIA GeForce RTX 4060 Laptop GPU",24,low_reg,8,256,192,49152,20,5,256,10,0,6,48,48,1.000000,0.013512,0.009438,3637655.436434
"NVIDIA GeForce RTX 4060 Laptop GPU",24,high_reg,8,256,192,49152,20,5,256,16,0,6,48,48,1.000000,0.025771,0.001707,1907245.303601
"NVIDIA GeForce RTX 4060 Laptop GPU",24,low_reg,16,256,192,49152,20,5,256,10,0,6,48,48,1.000000,0.014672,0.002133,3350054.502603
"NVIDIA GeForce RTX 4060 Laptop GPU",24,high_reg,16,256,192,49152,20,5,256,37,0,6,48,48,1.000000,0.048488,0.001128,1013694.089675
"NVIDIA GeForce RTX 4060 Laptop GPU",24,low_reg,24,256,192,49152,20,5,256,10,0,6,48,48,1.000000,0.023579,0.021086,2084549.070772
"NVIDIA GeForce RTX 4060 Laptop GPU",24,high_reg,24,256,192,49152,20,5,256,40,0,6,48,48,1.000000,0.077240,0.002119,636354.199785
"NVIDIA GeForce RTX 4060 Laptop GPU",24,low_reg,32,256,192,49152,20,5,256,10,0,6,48,48,1.000000,0.052134,0.042064,942794.003421
"NVIDIA GeForce RTX 4060 Laptop GPU",24,high_reg,32,256,192,49152,20,5,256,40,0,6,48,48,1.000000,0.104110,0.018455,472114.218877
"NVIDIA GeForce RTX 4060 Laptop GPU",24,low_reg,48,256,192,49152,20,5,256,10,0,6,48,48,1.000000,0.012445,0.001643,3949601.366454
"NVIDIA GeForce RTX 4060 Laptop GPU",24,high_reg,48,256,192,49152,20,5,256,72,0,3,24,48,0.500000,0.116234,0.000478,422872.553560
"NVIDIA GeForce RTX 4060 Laptop GPU",24,low_reg,64,256,192,49152,20,5,256,10,0,6,48,48,1.000000,0.013682,0.003240,3592562.234104
"NVIDIA GeForce RTX 4060 Laptop GPU",24,high_reg,64,256,192,49152,20,5,256,95,0,2,16,48,0.333333,0.182034,0.013954,270016.082861
"NVIDIA GeForce RTX 4060 Laptop GPU",24,low_reg,80,256,192,49152,20,5,256,10,0,6,48,48,1.000000,0.011816,0.002481,4159783.342120
"NVIDIA GeForce RTX 4060 Laptop GPU",24,high_reg,80,256,192,49152,20,5,256,96,0,2,16,48,0.333333,0.190219,0.005309,258396.630209
"NVIDIA GeForce RTX 4060 Laptop GPU",24,low_reg,96,256,192,49152,20,5,256,10,0,6,48,48,1.000000,0.010042,0.000418,4894837.453345
"NVIDIA GeForce RTX 4060 Laptop GPU",24,high_reg,96,256,192,49152,20,5,256,128,0,2,16,48,0.333333,0.222773,0.000647,220637.348729
"NVIDIA GeForce RTX 4060 Laptop GPU",24,low_reg,128,256,192,49152,20,5,256,10,0,6,48,48,1.000000,0.014778,0.009087,3326115.207327
"NVIDIA GeForce RTX 4060 Laptop GPU",24,high_reg,128,256,192,49152,20,5,256,168,0,1,8,48,0.166667,0.303928,0.001981,161722.510196
